COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ɔ ¹¹							
33-1	t o ¹¹							
46-1	p l e ¹¹							
126-1	s e ³³							
114-1	b ɛ ¹¹							
149-1	p l e ³³							
171-1	tʰ e ³³							
191-1	k w ɛ ⁵⁵							
203-1	n a ³³							
224-1	l ɛ ³³							
275-1	kʰ e ¹¹							
302-1	ʔ u ³³							
315-1	tʰ ɛ ⁵⁵							
394-1	n ɔ ⁵⁵							
431-1	pʰ ɛ ⁵⁵							
444-1	p ɛ ³³							
445-1	n e ¹¹							
514-1	s i ⁵⁵							
555-1	kʰ w i ¹¹							
579-1	cʰ ɛ ³³							
603-1	kʰ e ¹¹							
737-1	l o ¹¹							
763-1	cʰ a ¹¹ ¹¹							
870-1	kʰ ə ⁵⁵							
918-1	ʔ ɔ ³³							
979-1	l ɛ ¹¹							
1013-1	m e ¹¹							
1040-1	tʰ w i ¹¹							
1027-1	m e ¹¹							
1053-1	l w i ¹¹							
1065-1	m ɛ ¹¹							
1091-1	m o ¹¹							
1116-1	ʔ i ¹¹							
1129-1	n e ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ ɛ ³³							
1255-1	p a ⁵⁵							
1277-1	t a ³³							
1290-1	b l ¹¹ ¹¹							
1301-1	cʰ ɨ ¹¹							
1337-1	m o ¹¹							
1323-1	m u ¹¹							
1350-1	m a ¹¹							
1372-1	j a ³³							
1498-1	d a ¹¹							
1664-1	l a ⁵⁵							
1652-1	ʔ o ¹¹							
1687-1	s e ⁵⁵							
1708-1	s o ¹¹ ¹¹							
1732-1	t ɔ ¹¹							
1742-1	n ɔ ¹¹							
1755-1	pʰ r ɨ ³³							
1767-1	s i ³³							
1786-1	j e ¹¹							
1803-1	s w ¹¹							
1815-1	cʰ e ³³							
1840-1	pʰ r a ³³							
1853-1	tʰ ɛ ⁵⁵							
1866-1	s e ⁵⁵							
1894-1	l e ¹¹							
1934-1	c a ¹¹							
1947-1	kʰ ɛ ¹¹							
