COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o ɣ d o ŋ						
514-1	m ɪ k						
464-1	ȵ̊ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b l ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q r̪ ɪ l						
804-1	k ɑ ŋ m ɜ						
1263-1	b ɑ x s̪ p ɜ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ r̪ q						
1512-1	x tɕ i n̪						
555-1	r̪ ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	p ɜ x m ɜ						
1106-1	b u						
693-1	h ɜ r̪ o t̪ʰ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ q p ɜ						
1424-1	s̪ k u t̪ p ɜ						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	p s̪ ɪ l						
820-1	l̪ o k						
1636-1	x ts̪ u ŋ						
1331-1	ʊ ɾ d̪ β̞ ɑ						
1097-1	l ɜ m						
1223-1	bʲ ɜ ŋ ɜ						
592-1	m e						
1290-1	t̪ u t̪ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ ɣ ʑ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m ɛ n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b l ɜ s̪						
1119-1	ɑ l u						
709-2		g o o					
522-2		o ɣ d o ŋ					
514-2		m i k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b l ɜ ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		p r̪ ɜ q p ɜ					
1089-2		l ɜ q r̪ i l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		t̪ʰ ɜ ɜ q					
1512-2		x tɕ i n̪					
555-2		l̪ ɜ k p ɜ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		p ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ r̪ o h ɑ					
221-2		s̪ t̪ ɜ r̪ e					
1199-2		t̪ʰ ɑ q p ɜ					
1424-2		s̪ k u t̪ p ɜ					
904-2		l dð o t̪					
1273-2		s̪ n̪ ɜ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		tɕʰ ɜ r̪ p ɜ					
1529-2		tɕʰ u					
1175-2		ɾ gʲ ɛ m tθ o					
383-2		p s̪ i l					
820-2		l̪ o k					
1636-2		x u ŋ					
1331-2		ʊ ɾ d̪ ɑ ɑ					
1097-2		l ɜ m					
1223-2		bʲ ɜ ŋ ɑ					
592-2		m ɛ					
1290-2		t̪ u t̪ p ɜ					
669-2		x s̪ ɛ ɾ					
1472-2		s̪ t̪ ɑ ɣ ʑ i					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɜ					
626-2		m ɪ n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b l ɜ s̪					
1119-2		ɑ l u					
709-3			g o o				
522-3			ɾ ɣ d o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b l ɜ ŋ				
237-3			l̪ t̪ β̞ ɑ				
205-3			p r̪ ɜ q p ɜ				
1089-3			l ɜ q i ɪ l				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ x s̪ p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			s̪ n̪ i ŋ				
269-3			kʰ ɜ q				
1512-3			x tɕ i n̪				
