COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	tɕʰ ʅ ³⁵																		
5-1	ʈʂ a ŋ ⁵⁵																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a a ŋ																		
8-1	ɕ j a																		
9-1	p ai ³⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j a ³⁵																		
33-1	y u																		
38-1	ə ʅ																		
40-1	y a n																		
42-1	u ²¹⁴																		
43-1	tɕ ə n ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵⁵																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ³⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	l i ²¹⁴																		
98-1	l i ³⁵																		
109-1	ɕ i ŋ ⁵⁵																		
115-1	t au ²¹⁴																		
118-1	ʈʂ j ⁵⁵																		
124-1	tɕ j a ²¹⁴																		
127-1	ʈʂ u o																		
133-1	tʰ au ⁵¹																		
144-1	ʂ a ⁵⁵																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ²¹⁴																		
171-1	tʰ u ⁵¹																		
173-1	ʐ ʅ ⁵¹																		
174-1	l ei ⁵¹																		
175-1	tɕʰ ɥ a n ³⁵																		
176-1	l j a ŋ ⁵⁵																		
177-1	p a ³⁵																		
179-1	l j ou ³⁵																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə n ²¹⁴																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
200-1	ʈʂʰ u ⁵¹																		
202-1	t au ⁵⁵																		
205-1	f ə n ⁵⁵																		
206-1	tɕʰ ʅ e																		
209-1	x w a																		
211-1	tsʰ w o ⁵⁵																		
215-1	l i ⁵¹																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
