COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	tɕʰ i ³⁵																		
5-1	ʈʂ a ŋ ⁵⁵																		
6-1	ʂ w n ⁵⁵																		
7-1	ʂ a ŋ ⁵⁵																		
8-1	ɕ j e ⁵⁵																		
9-1	p o ⁵¹																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j a ³⁵																		
33-1	y u ²¹⁴																		
38-1	ə ²¹⁴																		
40-1	y ŋ ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵⁵																		
53-1	ʐ ə ŋ ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ³⁵																		
60-1	ʈʂ a ŋ ⁵⁵																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ²¹⁴																		
93-1	l i ²¹⁴																		
98-1	l ei ³⁵																		
109-1	ɕ i ŋ ⁵¹																		
115-1	t au ²¹⁴																		
118-1	tɕ j e ²¹⁴																		
124-1	tɕ j a n																		
127-1	ʈʂ w o ⁵¹																		
133-1	tʰ au ⁵¹																		
144-1	ʂ a ⁵⁵																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ²¹⁴																		
171-1	tʰ u ⁵¹																		
173-1	l ou ⁵¹																		
174-1	l w ⁵¹																		
175-1	tɕʰ y a n ³⁵																		
176-1	l j a ŋ ³⁵																		
177-1	p ai ³⁵																		
179-1	l j ou ³⁵																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵¹																		
193-1	l ə ŋ ³⁵																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
200-1	ʈʂʰ u ⁵¹																		
202-1	t au ⁵⁵																		
205-1	f ə ŋ ⁵⁵																		
206-1	tɕʰ j e ⁵⁵																		
209-1	x w a ⁵⁵																		
211-1	ʈʂʰ u ⁵⁵																		
215-1	l i ⁵¹																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
219-1	ʂ w a ⁵⁵																		
220-1	ʈʂʰ ai ⁵¹																		
225-1	tɕʰ j a n ³⁵																		
230-1	tɕ j a n ⁵¹																		
234-1	pʰ i ³⁵																		
238-1	l i ⁵¹																		
242-1	ʈʂ u ²¹⁴																		
253-1	tɕʰ i n ³⁵																		
256-1	ʂ ɤ ²¹⁴																		
261-1	x w a ⁵⁵																		
262-1	p ai ⁵¹																		
263-1	ʈʂʰ ʅ ³⁵																		
264-1	tɕ j a ŋ ⁵⁵																		
271-1	ʂ ʅ ³⁵																		
272-1	tɕʰ j a n ⁵⁵																		
274-1	u ²¹⁴																		
275-1	p a n ⁵¹																		
