COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	d u															
1841-1	m															
2017-1	h ɛ															
1004-1	l ou̯															
614-1	b ou̯ h															
686-1	b l ɛ															
88-1	k ɔ ʔ															
872-1	n ɨ ŋ															
1891-1	d ou̯															
68-1	s ɨi̯ m															
631-1	b ə̆ n															
594-1	g ou̯															
1759-1	h a n															
805-1	g a n															
756-1	h ɨ ʔ															
1201-1	m u ʔ															
2042-1	ʔ ou̯															
1968-1	d a ʔ															
2000-1	ui̯ ou̯ ŋ															
17-1	v a ʔ															
4-1	ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ ou̯ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	ou̯ m															
1652-1	t ɨi̯ n															
576-1	ŋ ɔ															
1738-1	d a k															
442-1	h u m															
368-1	d j a ŋ															
1778-1	p a ʔ															
957-1	n a p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j a m															
1796-1	t ɔ ŋ															
720-1	d u h															
287-1	k a p															
321-1	g ə̆ h															
206-1	d ou̯ ʔ															
1950-1	ʔ ɛ															
665-1	ou̯ n															
703-1	n ou̯ ʔ															
1290-1	m ɛ															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	t a n															
2078-1	s ɛ															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r d															
340-1	ʔ a															
1111-1	s ɛ															
485-1	ŋ ʔ															
1356-1	m u h															
1093-1	t ou̯ ŋ															
1063-1	d ɔ m															
648-1	t ə̆ n															
223-1	g ɔ n															
1248-1	t															
1509-1	d ɛ n															
504-1	t ou̯ h															
2130-1	s ɨi̯															
1-1	ʔ o															
386-1	j ou̯ ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g l ʔ															
1323-1	p ə															
1859-2		ŋ o														
175-2		g ə														
241-2		ʔ u ʔ														
2163-2		kʰ u n														
2181-2		n ə m														
2060-2		ʔ ɨ m														
410-2		d aː														
1841-2		m														
2017-2		h ɔːi̯														
1004-2		l aː														
614-2		b o h														
686-2		b l ɔi̯														
88-2		g ɔ k														
