COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	Ø Ø b Ø			
222-1	ɛ b Ø b Ø n e			
208-1	Ø b u r b u d u			
962-1	Ø g o r Ø Ø			
203-1	Ø g u d i Ø			
138-1	Ø z e l e			
504-1	Ø Ø z Ø Ø Ø			
662-1	Ø Ø d ɛ			
478-1	eː g Ø Ø ɛ			
409-1	Ø r e			
410-1	g u n d i			
946-1	Ø Ø ŋ g oː			
256-1	Ø Ø l a			
622-1	n d u			
546-1	n d u			
547-1	z a Ø Ø			
847-1	n a n d e g i			
95-1	b a Ø i			
105-1	b i n a n i			
510-1	b oː z Ø			
951-1	m b Ø m Ø r e			
1116-1	m b Ø m Ø			
149-1	Ø u ʃ i			
376-1	Ø ɛ l i			
815-1	g o r Ø Ø Ø			
453-1	Ø u ŋ a			
67-1	Ø a z e			
47-1	ɗ u Ø u Ø Ø			
869-1	Ø Ø Ø Ø			
57-1	Ø Ø g u			
303-1	g Ø ʃ i Ø			
443-1	g eː r ɛ			
884-1	g u n d i			
166-1	g u n d i			
918-1	Ø b ɛ r e			
616-1	b Ø e			
84-1	h o z Ø l a			
346-1	h oː h oː l u			
601-1	ʃ i g i			
177-1	Ø Ø Ø Ø Ø			
341-1	Ø o l Ø			
1066-1	Ø e n ʃ i ŋ ɛ			
318-1	Ø eː ʃ i			
241-1	m Ø Ø z o			
556-1	h Ø n d u ŋ u			
191-1	Ø i m b e l			
458-1	Ø ʃ i ʃ i			
1-1	h Ø n Ø i r			
751-1	r o			
864-1	Ø ŋ o n i			
154-1	Ø m Ø n Ø i			
278-1	Ø m i l u ɛ			
766-1	z Ø r Ø			
251-1	Ø g u r u			
6-1	Ø l i			
473-1	Ø i n e			
1111-1	h Ø l u			
957-1	m Ø r e			
41-1	b Ø Ø			
24-1	Ø Ø			
25-1	Ø Ø Ø e			
879-1	Ø b Ø Ø Ø b Ø Ø			
837-1	m Ø z i			
233-1	Ø Ø Ø Ø i Ø o			
938-1	Ø Ø u l Ø			
369-1	Ø Ø e			
820-1	Ø z o Ø e Ø			
438-1	n d Ø n e			
