COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	d ə ŋ ¹¹							
33-1	d ə ¹¹							
46-1	b l a ¹¹							
126-1	s a ⁵⁵							
114-1	b a ŋ ¹¹							
149-1	p l a ⁵⁵							
171-1	tʰ a m ⁵⁵							
191-1	k w a ²¹							
203-1	n e ⁵⁵							
224-1	l a ʔ ⁴⁵							
275-1	kʰ a ¹¹							
302-1	ʔ u ⁵⁵							
315-1	tʰ ɔ ʔ ²¹							
394-1	n o k̚ ⁴⁵							
431-1	p a ʔ ²¹							
444-1	p a ʔ ²¹							
445-1	n a ¹¹							
514-1	s i ʔ ²¹							
555-1	kʰ w i ¹¹							
579-1	ɕ j a ɴ ⁵⁵							
603-1	kʰ a ¹¹							
737-1	l u ¹¹							
763-1	cʰ w ɛ ¹¹							
870-1	kʰ i ʔ ²¹							
918-1	ʔ ə ŋ ⁵⁵							
979-1	l a ŋ ³³							
1013-1	m a ¹¹							
1040-1	tʰ w i ¹¹							
1027-1	m a ⁵⁵							
1053-1	l w i ¹¹							
1065-1	m a ŋ ¹¹							
1091-1	m ɨ ³³							
1116-1	ʔ e ¹¹							
1129-1	n a ¹¹							
1173-1	d i ¹¹							
1207-1	cʰ a ŋ ⁵⁵							
1255-1	p i ʔ ²¹							
1277-1	d ɛ ʔ ⁴⁵							
1290-1	ˀb l u ŋ ¹¹							
1301-1	cʰ u ɴ ¹¹							
1337-1	m ɨ ¹¹							
1323-1	m u ¹¹							
1350-1	m e ¹¹							
1372-1	ŋ a t̚ ⁴⁵							
1498-1	d e ¹¹							
1664-1	l e ʔ ⁴⁵							
1652-1	ʔ ɔ ¹¹							
1687-1	s a ʔ ²¹							
1708-1	s ɔ ¹¹							
1732-1	d o ŋ ¹¹							
1742-1	n o ŋ ⁵⁵							
1755-1	pʰ r ɨ ⁵⁵							
1767-1	s r ɦ ³³							
1786-1	r j a ³³							
1803-1	w a ³³							
1815-1	cʰ a ⁵⁵							
1840-1	b r e ʔ ⁴⁵							
1853-1	tʰ a ʔ ²¹							
1866-1	s a ʔ ²¹							
1894-1	l a ¹¹							
1934-1	c e ¹¹							
1947-1	kʰ a ŋ ¹¹							
1993-1	pʰ w i ⁵⁵							
2059-1	ʔ o ɴ ¹¹							
2098-1	ŋ j a ʔ ⁵¹							
2086-1	tʰ o ⁵⁵							
2153-1	s ɨ ¹¹							
2180-1	l o ŋ ¹¹							
2205-1	kʰ w o ⁵⁵							
2328-1	l a ⁵⁵							
2349-1	j u ¹¹							
2372-1	m i ¹¹							
2388-1	m i n ³³							
2413-1	d e ⁵⁵							
2637-1	p l o m ¹¹							
2649-1	c u ⁵⁵							
2693-1	b ə ŋ ⁵⁵							
2755-1	s ɔ ʔ ²¹							
2858-1	m i n ⁵⁵							
2953-1	c a ⁵⁵							
2986-1	cʰ a ʔ ²¹							
3034-1	kʰ a ʔ ²¹							
3088-1	b l ɛ ʔ ⁴⁵							
3113-1	p l e ⁵⁵							
3154-1	r u ¹¹							
3179-1	ɕ j a ɴ ¹¹							
3246-1	d a ⁵⁵							
3259-1	c i m ¹¹							
3282-1	tʰ ə ŋ ¹¹							
3295-1	cʰ a ¹¹							
3338-1	l o ŋ ¹¹							
3351-1	b l i ³³							
3375-1	m ɨ ¹¹							
3410-1	j ɔ ʔ ²¹							
3423-1	m e ¹¹							
3445-1	ɕ i ⁵⁵							
3485-1	b i ¹¹							
3500-1	p l o ŋ ¹¹							
