COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e ʔ									
56-1	u m e									
96-1	a t a									
99-1	a t i k a n									
114-1	t o k i									
115-1	u o i									
133-1	t i p a a a									
144-1	a o a w a i ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a t a ʔ									
2-1	w o m m									
65-1	i w									
74-1	p a n a									
52-2		t t e								
56-2		o m e								
96-2		a t a s i								
99-2		a r i k e n								
114-2		t o k i s i								
115-2		o r r i i i								
133-2		t i p a a a s i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p e k u n								
241-2		a w i n								
249-2		i t e								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		w i k i s i								
52-3			i tʃ i							
56-3			u m i							
96-3			a t a tʃ e							
99-3			a t i k a m							
114-3			tʃ o k i tʃ i							
115-3			u i i tʃ i e							
133-3			tʃ i p a i a tʃ e							
144-3			a t a w a tʃ i							
150-3			k a w							
234-3			k o m							
236-3			p i k u m							
241-3			a w i m							
249-3			i tʃ i							
1-3			w a tʃ a							
2-3			p u m							
65-3			i w e							
93-3			tʃ u p a r i tʃ i							
95-3			w i k e							
52-4				t t e						
56-4				u m e						
96-4				a t a						
99-4				a r i k o n						
114-4				t o k i						
115-4				u o i						
133-4				t i p a a a						
144-4				a o a w a i						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				w m m						
65-4				i w						
74-4				p a n a						
93-4				t o p a r i i						
95-4				w i k i						
52-5					t t e					
56-5					y m e					
96-5					a r a s i					
99-5					a r i j e n					
114-5					t o k i s i					
115-5					y r i i s i					
133-5					t i p a r a s i					
144-5					a r a w a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k y n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					w f m m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i					
52-6						i t i i				
56-6						u m i				
96-6						a t a tʃ i				
99-6						a r i k a i				
114-6						t u k i tʃ i				
115-6						u i i i tʃ i				
133-6						t i p a i a tʃ i				
144-6						a a a w a a i				
150-6						k a w				
234-6						k u m				
236-6						p i k i g				
241-6						a w i g				
249-6						i tʃ i				
1-6						w a t a				
2-6						w i m m				
65-6						i w i				
74-6						p a g a				
93-6						t a p a i i tʃ i				
95-6						w i k i i				
52-7							i t e			
56-7							u m i			
96-7							a t a i			
99-7							a r i k a n			
114-7							t u k i i			
115-7							u u i i i			
133-7							t i p a a i			
144-7							a t a w a i			
150-7							k a w			
234-7							k u m			
236-7							p i k u n			
241-7							a w i n			
249-7							i s e			
1-7							w a t a			
2-7							a u m			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i i			
95-7							w i k i			
52-8								t t e		
56-8								y m e		
96-8								a r a s		
99-8								a r i k n		
114-8								t o k i s i		
115-8								y r i i i		
133-8								t i p a a a s i		
144-8								a r a v a s i		
150-8								k a v		
234-8								k u m		
236-8								p e k y n		
241-8								a v i n		
249-8								i s e		
1-8								v a t a		
2-8								v o m		
65-8								i v i		
74-8								p a n a		
93-8								t u p a r i s i		
95-8								v i k i		
52-9									i t e	
56-9									i m e	
96-9									a r a ʃ i	
99-9									a r i w a n	
114-9									t u k i ʃ i ʔ	
115-9									i r a i ʃ i ʔ	
133-9									t i p a r a ʃ i	
144-9									a a a w a ʃ i ʔ	
150-9									k a w ʔ	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ e	
1-9									w a t a ʔ	
2-9									w w m m	
65-9									i w i ʃ	
74-9									p a n a	
93-9									t u p a r i ʃ i ʔ	
95-9									w i k i ʃ i	
52-10										i t e
56-10										y m e
96-10										a r a tʃ ʔ
99-10										a r i k o n
114-10										t o k i tʃ i ʔ
115-10										y r i tʃ i ʔ
133-10										t i p a r i i
144-10										a r a w a tʃ i ʔ
150-10										k a w ʔ
234-10										k o m
236-10										p e k y n
241-10										a w i n
249-10										i tʃ e ʔ
1-10										w a t a ʔ
2-10										w w m m
65-10										i w i ʔ
74-10										p a n a
93-10										t o p a r i tʃ i ʔ
95-10										w i k i
