COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e									
96-1	a t									
99-1	a r i ʒ̟ a									
114-1	t o k									
115-1	u ʒ̟									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a ʒ̟ a									
2-1	m o m r a									
65-1	i w									
74-1	p a n a									
106-1	t u n e ɲ									
128-1	p o k									
147-1	t u k u									
231-1	p a n a w o ʔ									
232-1	p i p i j o									
239-1	n a m a k a n									
266-1	i s i m									
51-1	u w e ʔ									
97-1	m a p o m									
109-1	u p w i k									
121-1	k a p a j a k									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m u k u r i									
142-1	p a t a m									
145-1	k a t a t									
148-1	s a w a n									
162-1	i j i n									
166-1	i m i									
179-1	t a									
201-1	p w e									
21-1	t a n									
24-1	p o k o r a n									
50-1	i n a ʔ									
57-1	t o k o w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t u k u ʒ̟ i m									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	t r r i m									
205-1	i p a n									
227-1	m a p w i t o									
246-1	i w i									
251-1	w a n a									
271-1	tʃ i w									
285-1	i r a w i n									
75-1	u p e j e									
79-1	t a n									
104-1	k i p u n									
153-1	tʃ a k									
157-1	t a s a m									
174-1	p u r u									
240-1	t i m a k									
270-1	k a w a ʒ̟ i									
52-2		i t e								
56-2		u m e								
96-2		a r a tʃ								
99-2		a r i r a n								
114-2		t o k tʃ i								
115-2		u u tʃ i								
133-2		t i p a r a i								
144-2		a t a w a tʃ i								
150-2		k a w								
234-2		k o m								
236-2		p i k u n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r i tʃ i								
95-2		w i k i								
106-2		t u n i tʃ i								
119-2		j a t i s i								
128-2		h o k tʃ i								
147-2		t i m i tʃ i								
231-2		p a n a w o ʔ								
232-2		p i j o o								
239-2		n a m a k a n								
266-2		i t i m								
51-2		i w e								
55-2		i h a m								
97-2		m a h u m								
121-2		k a p i j a k i ʔ								
163-2		u p e n								
167-2		p a ʔ								
259-2		t o w a								
66-2		k a r a k a w								
112-2		t a r a j i tʃ i								
116-2		t o p a k a s i								
125-2		k a i m a tʃ i								
135-2		k i m i tʃ e								
139-2		m u n o tʃ i								
142-2		p a r a m a i								
148-2		t r a w a n a i								
162-2		i j i n								
166-2		i m i ʔ								
179-2		t a								
45-2		a h u j a m a								
84-2		p i w a n								
131-2		t u k a i i a tʃ								
146-2		i k i m a i								
154-2		w e ʔ								
192-2		t i t								
197-2		t i r i m								
235-2		s u w i ʔ								
237-2		n i m a j i								
246-2		i w i								
250-2		r u p a t k o n								
267-2		t o w a								
39-2		j a m a r i m a ʔ								
42-2		k i t r a m a ʔ								
44-2		w a n j a m								
75-2		i p i j a m								
94-2		i k e r e m								
122-2		p i k i n a ʃ i ʔ								
52-3			i t e							
56-3			u m e							
96-3			a r a s i							
99-3			a r e j e n							
114-3			t o k i tʃ i							
