COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ a							
5-1	h a							
4-1	tʰ ɛ k     k  k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	u							
60-1	ɕ a							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ a							
92-1	pʰ a							
102-1	m a							
106-1	pʰ u k							
108-1	d u							
107-1	pʰ a							
112-1	pʰ a m							
115-1	ɕ a							
114-1	t ɔ ŋ							
120-1	d u							
124-1	u							
125-1	t ɔ k							
132-1	ɕ i							
131-1	r i ŋ							
136-1	m i							
134-1	kʰ a k							
137-1	u a							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɛ							
149-1	m i k							
153-1	ɕ a							
152-1	kʰ a n							
158-1	k i k							
163-1	l i							
164-1	ɲ i							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	t ɔ n							
183-1	r ɛi							
185-1	m a							
188-1	kʰ a							
189-1	ts i ŋ							
193-1	h a							
196-1	m a n							
199-1	tɕʰ i							
200-1	kʰ a n							
201-1	kʰ i							
202-1	kʰ ɛi n							
203-1	t ɔ ŋ							
204-1	b u							
206-1	ɲ a m							
117-1	b u							
146-1	kʰ ɛi							
219-1	pʰ u							
218-1	tɕʰ i							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j a							
255-1	h a							
260-1	b a							
263-1	r u							
269-1	dʑ ɛ k k							
271-1	tʰ a k							
209-1	kʰ ɛi							
277-1	m a ɹ							
278-1	b u ŋ							
135-1	d ɛ							
284-1	m u							
797-1	u							
290-1	l i							
289-1	tɕ i k     k  k							
296-1	h i							
310-1	ɕ i							
319-1	i							
325-1	r a							
327-1	tʰ e							
331-1	k u							
337-1	b a ɛ n							
338-1	l i ŋ							
339-1	h a							
350-1	kʰ ɛi							
349-1	t u ŋ							
357-1	tɕʰ u							
355-1	u a							
363-1	m a							
361-1	t ɔ							
365-1	ɕ a							
364-1	dʑ ɛ							
375-1	r u k							
379-1	ɕ a t							
380-1	kʰ a							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ u m							
409-1	r ɛ ɛ k							
410-1	i i k							
415-1	b a							
416-1	b a							
101-1	ɲ u							
37-1	kʰ a							
424-1	pʰ a							
434-1	tɕʰ a n							
445-1	p a							
446-1	ɕ i							
451-1	t u							
457-1	n a m							
456-1	b ɹ							
464-1	pʰ i s ŋ							
473-1	tɕʰ i							
474-1	ɔ ŋ							
479-1	ɕ i ŋ							
489-1	j ɔ							
490-1	h ɔ ŋ							
494-1	ɕ i							
503-1	kʰ ɛi							
502-1	z a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ a							
544-1	j a m							
850-1	u							
554-1	dʑ i							
553-1	r i ŋ							
558-1	kʰ a ŋ							
561-1	ɕ a							
562-1	p a							
564-1	j ɛ							
567-1	m a							
570-1	pʰ u							
575-1	ai							
582-1	l a							
585-1	h							
589-1	kʰ ɛi m							
593-1	d ɛ n							
594-1	l a							
595-1	t ɔ							
596-1	ɲ ɔ							
598-1	ʑ u p							
599-1	d i s							
602-1	z ɛ							
603-1	l a p							
606-1	ɕ ɔ							
605-1	b ɔ							
620-1	l a							
637-1	pʰ a k							
639-1	dʑ ɔ							
645-1	kʰ ɛi s							
646-1	r i ŋ							
168-1	h ɛ ɛ k							
658-1	h a n							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m a n							
493-1	ʑ i							
693-1	ɕ i							
694-1	m a							
702-1	ts u m							
704-1	m a							
176-1	l a							
709-1	ɕ							
710-1	t ɔ							
714-1	m a ɛ							
718-1	kʰ ɛi							
719-1	tɕʰ a ŋ							
22-1	m u							
723-1	ts i ŋ							
726-1	dʑ j ŋ							
729-1	b u p							
730-1	r ɛi							
739-1	pʰ a							
740-1	b i							
741-1	kʰ ɛi k							
744-1	u a							
743-1	h a n							
746-1	pʰ u ŋ							
748-1	d ɛ							
747-1	kʰ u							
749-1	kʰ a n							
751-1	t a n							
762-1	m a n							
764-1	h a n							
765-1	dʑ i							
788-1	l u							
615-1	l a k							
803-1	ɕ u							
802-1	w a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	ɕ i							
820-1	b ɔ							
828-1	ɕ a k							
827-1	p u							
835-1	h a							
308-1	r u							
844-1	z i							
848-1	m a							
705-1	l a							
613-1	u s							
649-1	h ɛ ɛ k							
876-1	ts a							
878-1	j u ŋ							
889-1	h a							
898-1	n u k							
902-1	h a ŋ     ŋ ŋ ŋ							
910-1	h n							
916-1	l i							
919-1	r i							
922-1	ɕ i k							
930-1	tɕʰ u							
933-1	k i							
939-1	r ɛ ɛ k							
947-1	w ɛ n							
948-1	n u							
963-1	z a							
967-1	tɕʰ u k							
969-1	ɕ a							
970-1	k u k							
972-1	h i							
731-1	m u							
973-1	dʑ i ŋ							
974-1	h a							
979-1	dʑ a n							
182-1	kʰ u							
993-1	h i							
994-1	j i							
1001-1	ɕ a							
1002-1	d u							
1005-1	tɕʰ u							
1009-1	kʰ ɛi							
1022-1	ɕ a							
1021-1	j ɔ k							
1043-1	w ɔ ŋ							
1049-1	t ɛi							
1065-1	kʰ i ŋ							
1068-1	j u							
1077-1	l u ŋ							
1081-1	r a ŋ							
1084-1	h i ŋ							
1092-1	m a							
1091-1	tɕʰ i							
1096-1	h i							
1097-1	h ɔ							
1102-1	ɲ i							
1104-1	t ɔ n							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b ɹ							
1116-1	ɕ a n							
722-1	kʰ ɛi							
1141-1	j ɔ ŋ							
1147-1	b a							
1146-1	z ɔ							
1150-1	kʰ a ŋ ŋ							
1151-1	u ŋ							
1158-1	kʰ a k							
1159-1	pʰ a							
1164-1	t a							
1163-1	l a							
1167-1	ɕ a ŋ							
1171-1	l ɛi							
1177-1	ʑ i							
1187-1	kʰ ɛi							
1189-1	ɲ i k							
52-1	kʰ a							
1195-1	z i							
1203-1	tʰ u k							
1211-1	j u							
329-1	r a							
1217-1	m a							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ i n							
1229-1	dʑ a ŋ							
1238-1	d a ŋ							
1249-1	m i							
1252-1	j a							
1254-1	h i							
1253-1	ɕ u m							
1257-1	k a							
1263-1	dʑ ɛi							
1266-1	dʑ a k							
584-1	t u ŋ							
7-1	w ɔi							
1191-1	l a ɛ ŋ    ŋ							
13-1	tɕʰ a							
18-1	dʑ i							
33-1	h i							
74-1	t a							
81-1	ɕ a n							
83-1	m i k							
89-1	t ɔ ŋ							
90-1	ʑ u							
123-1	tɕʰ i							
122-1	kʰ u							
121-1	m a							
154-1	tɕʰ u							
159-1	ɕ a							
161-1	tɕʰ i							
170-1	dʑ ɛ t							
91-1	u a							
181-1	h a							
186-1	dʑ i							
191-1	ɕ i							
